generation,map_index,token_ratio,explore_dist,min_fitness,max_fitness,mean_fitness,median_fitness,sd,se,var,n,ancestors
15,1,0.000000,0.500000,0,66,0.000000,66,66.908323,6.690832,4476.723631,100,1
15,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
15,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
16,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
16,1,0.000000,0.500000,0,66,0.000000,66,66.908323,6.690832,4476.723631,100,1
16,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
16,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
17,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
17,1,0.000000,0.500000,0,66,0.000000,66,66.908323,6.690832,4476.723631,100,1
17,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
17,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
18,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
18,1,0.000000,0.500000,0,66,0.000000,66,66.908323,6.690832,4476.723631,100,1
18,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
18,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
19,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
19,1,0.000000,0.500000,0,66,0.000000,66,66.908323,6.690832,4476.723631,100,1
19,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
19,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
20,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
20,1,0.000000,0.500000,0,66,0.000000,66,66.908323,6.690832,4476.723631,100,1
20,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
20,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
21,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
21,1,0.000000,0.500000,0,66,0.000000,66,66.908323,6.690832,4476.723631,100,1
21,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
21,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
22,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
22,1,0.000000,0.500000,0,66,0.000000,66,66.908323,6.690832,4476.723631,100,1
22,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
22,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
23,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
23,1,0.000000,0.500000,0,66,0.000000,66,66.908323,6.690832,4476.723631,100,1
23,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
23,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
24,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
24,1,0.000000,0.500000,0,66,0.000000,66,66.908323,6.690832,4476.723631,100,1
24,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
24,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
25,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
25,1,0.000000,0.500000,0,66,0.000000,66,66.908323,6.690832,4476.723631,100,1
25,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
25,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
26,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
26,1,0.000000,0.500000,0,71,0.000000,71,70.080604,7.008060,4911.291039,100,2
26,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
26,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
27,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
27,1,0.000000,0.500000,0,71,0.000000,71,71.524774,7.152477,5115.793348,100,1
27,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
27,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
28,0,0.000000,0.000000,0,75,0.000000,75,75.500658,7.550066,5700.349393,100,1
28,1,0.000000,0.500000,0,71,0.000000,71,71.524774,7.152477,5115.793348,100,1
