generation,resource_type,initial_x_pos, initial_y_pos, final_x_pos, final_y_pos, distance, isCollected
0,1,-1.500000, -3.900000,-1.500515, -3.899928,0.009861,0
0,1,2.300000, -6.700000,2.299531, -6.700057,0.009859,0
0,1,-9.000000, 8.600000,-9.000498, 8.600041,0.009862,0
0,1,7.700000, 4.100000,7.736044, 4.078519,0.043100,0
0,1,9.400000, 8.200000,9.399217, 8.199781,0.009881,0
0,1,8.900000, 3.500000,8.899360, 3.499996,0.009868,0
0,1,-4.600000, 7.200000,-4.521149, -8.529700,15.729901,1
0,1,-7.100000, 5.400000,-8.185458, -8.443293,13.885787,0
0,1,6.200000, 7.900000,-0.193764, 8.221557,6.401852,0
0,1,-7.300000, -7.100000,-7.300701, -7.099926,0.009873,0
0,1,-2.600000, 0.900000,-2.848197, -0.539674,1.460944,0
0,1,8.800000, 8.000000,8.799512, 8.000101,0.009859,0
0,1,-5.100000, -4.200000,-5.525942, -8.690096,4.510264,1
0,1,7.300000, -3.600000,8.034036, -3.689537,0.739542,0
0,1,0.400000, -2.400000,-1.696449, -8.531623,6.480123,1
0,1,5.800000, 3.000000,5.862268, -7.463568,10.463758,0
0,1,0.800000, 1.700000,0.889155, -3.372835,5.073628,0
0,1,1.800000, -5.600000,1.864624, -8.709961,3.110648,1
0,1,6.900000, 2.000000,6.985527, 1.443055,0.563559,0
0,1,6.700000, -2.500000,6.762148, -2.282551,0.226370,0
0,1,0.300000, 8.700000,-0.008167, -6.201151,14.904341,0
0,1,-6.600000, 9.100000,-6.600421, 9.100075,0.009857,0
0,1,-8.900000, -3.500000,-8.920777, -8.659228,5.159280,1
0,1,-8.600000, 5.300000,-8.845877, -8.525869,13.828059,1
0,1,-8.000000, 0.400000,-7.985929, 0.352777,0.050250,0
0,1,9.000000, 2.000000,8.999388, 2.000072,0.009869,0
0,1,-7.600000, 2.900000,-5.505783, -8.523938,11.614310,1
0,1,9.000000, -4.100000,8.459846, -8.558167,4.490782,1
0,1,1.200000, -6.300000,1.648967, -8.768282,2.508801,1
0,1,1.600000, 3.400000,1.710329, -8.594451,11.994962,1
0,2,5.400000, 9.300000,5.400425, 9.300007,0.009943,0
0,2,1.000000, 7.200000,0.955813, 7.196208,0.045448,0
0,2,-1.400000, 3.100000,-1.529465, 2.677188,0.442300,0
0,2,-3.700000, 7.300000,-3.704275, 7.311426,0.015687,0
0,2,5.800000, -0.300000,5.856986, 4.232533,4.532903,0
0,3,4.400000, -3.200000,9.499998, -3.180953,5.100043,0
0,3,5.700000, -2.200000,5.240440, -3.604768,1.478062,0
0,3,7.200000, -0.100000,7.793438, -0.642748,0.804264,0
0,3,2.600000, -1.200000,3.451549, -1.177754,0.851897,0
0,3,0.100000, -5.900000,-0.712692, -5.679952,0.842014,0
0,4,7.400000, 3.100000,7.400261, 3.099995,0.009949,0
0,4,-7.700000, 1.500000,-6.718529, 1.336604,0.995029,0
0,4,-6.000000, -1.100000,-6.394706, -1.157343,0.398972,0
0,4,-3.200000, -6.000000,-3.609318, -5.939440,0.413891,0
0,4,-1.400000, 5.500000,-1.435977, 6.065990,0.567219,0
0,5,-6.400000, 3.800000,-6.408596, 3.606591,0.193856,0
0,5,2.600000, -4.300000,2.589034, -4.278502,0.026077,0
0,5,-1.300000, -1.200000,-1.416801, -1.842861,0.653458,0
0,5,3.900000, 5.000000,3.999041, 4.930687,0.121293,0
0,5,0.800000, 5.900000,0.793973, 5.822262,0.078598,0
