generation,resource_type,initial_x_pos, initial_y_pos, final_x_pos, final_y_pos, distance, isCollected
0,1,-7.900000, 5.500000,-7.900566, 5.499818,0.009867,0
0,1,8.200000, -4.800000,8.044797, -8.572044,3.775248,1
0,1,-4.100000, 2.100000,-5.389413, -8.704677,10.881347,1
0,1,9.200000, -0.800000,9.038328, -7.952867,7.154699,0
0,1,-3.300000, -5.400000,-3.300788, -5.399931,0.009879,0
0,1,-5.300000, 5.200000,-5.434122, -8.528433,13.729091,1
0,1,-0.900000, 0.200000,-1.246105, -8.526374,8.733240,1
0,1,-7.900000, -4.500000,-7.900599, -4.499981,0.009866,0
0,1,-5.300000, -5.600000,-5.441292, -8.854071,3.257151,1
0,1,-8.900000, 4.500000,-9.047663, -1.954294,6.455990,0
0,1,-2.400000, 8.500000,-2.400711, 8.500025,0.009873,0
0,1,5.700000, 1.300000,5.912185, -8.563708,9.865995,1
0,1,-2.200000, -4.600000,-2.200638, -4.600067,0.009868,0
0,1,7.300000, 2.900000,7.106592, -8.849931,11.751527,1
0,1,-4.300000, 3.500000,-3.890814, -8.529191,12.036152,1
0,1,-3.500000, -7.400000,-4.001061, -7.389630,0.501258,0
0,1,-5.900000, 9.500000,-5.900427, 9.500091,0.009857,0
0,1,-8.500000, -4.000000,-8.517084, -8.527026,4.527069,1
0,1,7.500000, -0.700000,7.440409, -8.938750,8.238972,1
0,1,-2.800000, 6.600000,-2.800581, 6.599998,0.009864,0
0,1,6.100000, -5.100000,6.015027, -8.707490,3.608504,1
0,1,5.000000, -1.700000,4.878652, -8.565811,6.866890,1
0,1,7.000000, 9.000000,6.723269, -8.711123,17.713288,1
0,1,4.400000, -6.600000,2.832095, -9.004757,2.870763,1
0,1,4.400000, 8.400000,4.399218, 8.399955,0.009879,0
0,1,4.600000, -1.000000,5.733476, 7.591258,8.665712,0
0,1,-8.800000, -6.100000,-8.800570, -6.099934,0.009865,0
0,1,4.100000, -0.300000,4.010869, -8.576436,8.276922,1
0,1,2.400000, -1.800000,2.093698, -8.872854,7.079490,1
0,1,7.200000, -2.900000,7.309023, -8.858386,5.959391,1
0,2,-8.300000, -2.500000,-9.602906, -1.945991,1.415836,0
0,2,1.400000, -0.400000,1.400594, -0.399981,0.009952,0
0,2,-2.800000, 1.900000,-2.861685, 2.127110,0.235542,0
0,2,-1.800000, 5.900000,-0.532348, 6.250126,1.315152,0
0,2,8.100000, 8.700000,9.632662, 7.733046,1.812221,0
0,3,1.100000, 1.100000,1.099042, 1.090123,0.014030,0
0,3,-6.000000, 6.700000,-5.993399, 6.644864,0.056418,0
0,3,3.200000, 7.900000,3.178905, 7.834438,0.069586,0
0,3,-0.900000, 8.200000,-0.899839, 8.199889,0.009946,0
0,3,2.600000, 3.000000,2.591625, 3.067596,0.068822,0
0,4,8.600000, -3.300000,7.972222, -3.863653,0.843747,0
0,4,5.600000, 8.000000,5.660442, 8.192924,0.202417,0
0,4,-6.900000, 2.700000,-6.899795, 2.700079,0.009950,0
0,4,8.800000, 7.500000,8.844027, 7.369402,0.138168,0
0,4,-4.700000, -7.400000,-4.526292, -7.644015,0.299691,1
0,5,-9.000000, 6.800000,-8.999869, 6.799974,0.009952,0
0,5,2.000000, 5.500000,1.905358, 5.961705,0.471409,0
0,5,-0.300000, -4.400000,-0.309922, -4.401690,0.014146,0
0,5,-6.600000, 5.400000,-6.596799, 5.400861,0.010483,0
0,5,-3.800000, 8.700000,-3.529815, 8.944683,0.364651,0
1,1,-7.900566, 5.499911,-7.900568, 5.499863,0.000048,0
1,1,8.044854, -8.572094,8.045146, -8.572396,0.000420,1
