generation,resource_type,initial_x_pos, initial_y_pos, final_x_pos, final_y_pos, distance, isCollected
0,1,5.400000, 6.100000,4.718310, -8.575562,14.691389,1
0,1,-2.100000, 9.400000,-3.040912, -8.422098,17.846918,0
0,1,2.400000, -5.500000,2.399656, -5.499983,0.009856,0
0,1,-4.800000, -4.000000,-4.800398, -4.000024,0.009856,0
0,1,3.800000, -4.000000,2.514877, -4.507784,1.381839,0
0,1,-6.000000, -5.100000,-6.261813, -8.527018,3.437018,1
0,1,-7.400000, 0.500000,-8.205657, -8.528280,9.064161,1
0,1,-1.000000, 3.900000,-1.097856, -8.525567,12.425956,1
0,1,5.600000, -7.500000,5.599250, -7.499993,0.009875,0
0,1,8.700000, 3.700000,8.592036, -8.802280,12.502751,1
0,1,-3.600000, -0.500000,-3.224566, -8.526044,8.034826,1
0,1,-6.600000, -2.200000,-6.600714, -2.200036,0.009873,0
0,1,2.000000, -6.800000,1.940885, -7.018599,0.226665,0
0,1,8.000000, -6.200000,7.999341, -6.199987,0.009870,0
0,1,-2.800000, -1.600000,-2.954593, -2.314772,0.731355,0
0,1,7.000000, 0.600000,7.036253, 0.084335,0.517013,0
0,1,-8.600000, 4.500000,-9.013725, -8.728863,13.235334,1
0,1,-7.300000, -3.300000,-7.681708, -8.532575,5.246488,1
0,1,9.300000, 3.500000,9.006563, -8.569440,12.073010,1
0,1,1.400000, 0.700000,1.279597, -8.643681,9.344461,1
0,1,-7.700000, 6.900000,-9.088065, -8.526711,15.489035,1
0,1,-4.200000, -5.300000,-4.322796, -8.528858,3.231207,1
0,1,-8.700000, 3.900000,-9.764547, -6.834667,10.787327,0
0,1,-9.000000, 1.300000,-9.764256, -5.875665,7.216256,0
0,1,-2.800000, 5.900000,-3.065934, -2.167414,8.071801,0
0,1,-7.600000, -4.100000,-7.541809, -5.182250,1.083858,0
0,1,8.000000, 7.300000,7.999527, 7.300059,0.009859,0
0,1,2.100000, -4.900000,2.084783, -8.552389,3.652434,1
0,1,5.600000, 4.500000,4.232757, -8.483011,13.054809,1
0,1,-5.300000, 3.700000,-5.904097, -8.528914,12.243830,1
0,2,8.300000, 9.400000,7.834081, 7.831205,1.636551,0
0,2,2.900000, -2.200000,2.827964, -2.239451,0.082695,0
0,2,-7.800000, 1.500000,-7.682333, 1.334183,0.203559,0
0,2,1.600000, 7.100000,1.600461, 7.099834,0.009948,0
