generation,iteration,robot,birthday,ancestor_id,ancestor_birthday,cell_id,age,sigma,maps,genomes,fitness,cells_in_map,dist_max,dist_pot_max,dist_total,com_rx,com_tx,obj_group1,obj_group2,obj_group3,obj_group4,obj_group5
0,9999,0,0,0,0,44,9999,0.100000,99,0,0.000000,0,7.000000,16.407027,12.772711,99,99,0,0,0,0,0
0,9999,1,0,1,0,40,9999,0.100000,99,0,0.000000,0,0.000000,22.440257,1.506523,99,99,0,0,0,0,0
0,9999,2,0,2,0,41,9999,0.100000,99,0,0.000000,0,3.000000,22.448293,18.075895,99,99,0,0,0,0,0
0,9999,3,0,3,0,41,9999,0.100000,99,0,0.000000,0,4.000000,24.143903,16.455850,99,99,0,0,0,0,0
0,9999,4,0,4,0,40,9999,0.100000,99,0,0.000000,0,1.000000,30.418864,2.632251,99,99,0,0,0,0,0
0,9999,5,0,5,0,0,9999,0.100000,99,0,0.037231,0,0.000000,27.923448,1.848511,99,99,0,0,0,1,0
0,9999,6,0,6,0,47,9999,0.100000,99,0,0.000000,0,14.000000,18.496553,17.768502,99,99,0,0,0,0,0
0,9999,7,0,7,0,2,9999,0.100000,99,0,9.908026,0,5.000000,20.300485,10.318080,99,99,0,1,0,0,0
0,9999,8,0,8,0,1,9999,0.100000,99,0,0.013466,0,3.000000,24.309787,5.267792,99,99,0,0,0,0,1
0,9999,9,0,9,0,41,9999,0.100000,99,0,0.000000,0,4.000000,24.144964,15.990463,99,99,0,0,0,0,0
0,9999,10,0,10,0,40,9999,0.100000,99,0,0.000000,0,3.000000,30.028230,3.889371,99,99,0,0,0,0,0
0,9999,11,0,11,0,40,9999,0.100000,99,0,0.000000,0,0.000000,21.345484,1.009806,99,99,0,0,0,0,0
0,9999,12,0,12,0,42,9999,0.100000,99,0,0.000000,0,4.000000,17.283543,7.055046,99,99,0,0,0,0,0
0,9999,13,0,13,0,0,9999,0.100000,99,0,0.536459,0,2.000000,29.553260,13.720467,99,99,0,0,1,0,0
0,9999,14,0,14,0,40,9999,0.100000,99,0,0.000000,0,1.000000,34.621942,4.888379,99,99,0,0,0,0,0
0,9999,15,0,15,0,0,9999,0.100000,99,0,0.095333,0,2.000000,24.393401,11.684648,99,99,0,0,0,0,1
0,9999,16,0,16,0,40,9999,0.100000,99,0,0.000000,0,1.000000,21.910080,7.630953,99,99,0,0,0,0,0
0,9999,17,0,17,0,42,9999,0.100000,99,0,0.000000,0,4.000000,14.751842,18.731101,99,99,0,0,0,0,0
0,9999,18,0,18,0,41,9999,0.100000,99,0,0.000000,0,2.000000,13.832753,7.096179,99,99,0,0,0,0,0
0,9999,19,0,19,0,40,9999,0.100000,99,0,0.000000,0,2.000000,29.997000,14.053855,99,99,0,0,0,0,0
0,9999,20,0,20,0,93,9999,0.100000,99,0,33.419693,0,9.000000,22.025390,16.103495,99,99,1,0,0,0,0
0,9999,21,0,21,0,0,9999,0.100000,99,0,0.070288,0,0.000000,24.641380,0.918027,99,99,0,0,0,0,1
0,9999,22,0,22,0,0,9999,0.100000,99,0,2.868880,0,1.000000,26.641214,3.799590,99,99,0,1,0,0,0
0,9999,23,0,23,0,0,9999,0.100000,99,0,0.130526,0,3.000000,31.140482,6.226338,99,99,0,0,0,0,1
0,9999,24,0,24,0,41,9999,0.100000,99,0,23.107622,0,4.000000,29.731447,13.267271,99,99,0,1,0,0,1
0,9999,25,0,25,0,40,9999,0.100000,99,0,0.000000,0,1.000000,19.618732,10.595347,99,99,0,0,0,0,0
0,9999,26,0,26,0,40,9999,0.100000,99,0,0.000000,0,0.000000,27.121332,1.792800,99,99,0,0,0,0,0
0,9999,27,0,27,0,40,9999,0.100000,99,0,0.000000,0,0.000000,28.232115,1.510516,99,99,0,0,0,0,0
0,9999,28,0,28,0,40,9999,0.100000,99,0,0.000000,0,1.000000,20.401923,4.602286,99,99,0,0,0,0,0
0,9999,29,0,29,0,41,9999,0.100000,99,0,0.000000,0,4.000000,24.108862,10.621300,99,99,0,0,0,0,0
0,9999,30,0,30,0,40,9999,0.100000,99,0,0.000000,0,2.000000,25.144966,8.208969,99,99,0,0,0,0,0
0,9999,31,0,31,0,40,9999,0.100000,99,0,0.000000,0,2.000000,19.633276,3.692445,99,99,0,0,0,0,0
0,9999,32,0,32,0,40,9999,0.100000,99,0,0.000000,0,2.000000,28.526198,16.171967,99,99,0,0,0,0,0
0,9999,33,0,33,0,40,9999,0.100000,99,0,0.000000,0,1.000000,28.928286,3.488408,99,99,0,0,0,0,0
0,9999,34,0,34,0,40,9999,0.100000,99,0,0.000000,0,1.000000,14.326662,4.059472,99,99,0,0,0,0,0
0,9999,35,0,35,0,0,9999,0.100000,99,0,0.004675,0,1.000000,27.756407,3.072448,99,99,0,0,0,0,1
