generation,iteration,robot,birthday,ancestor_id,ancestor_birthday,cell_id,age,sigma,maps,genomes,fitness,cells_in_map,dist_max,dist_pot_max,dist_total,com_rx,com_tx,obj_group1,obj_group2,obj_group3,obj_group4,obj_group5
0,9999,0,0,0,0,40,9999,0.100000,99,0,0.000000,0,2.000000,27.773013,6.273698,99,99,0,0,0,0,0
0,9999,1,0,1,0,0,9999,0.100000,99,0,0.000000,0,2.000000,32.983690,4.918315,99,99,0,0,1,0,0
0,9999,2,0,2,0,40,9999,0.100000,99,0,0.000000,0,1.000000,27.445057,6.323981,99,99,0,0,0,0,0
0,9999,3,0,3,0,40,9999,0.100000,99,0,0.000000,0,2.000000,27.293929,6.039339,99,99,0,0,0,0,0
0,9999,4,0,4,0,0,9999,0.100000,99,0,0.074038,0,0.000000,31.727862,0.504887,99,99,0,1,0,0,0
0,9999,5,0,5,0,1,9999,0.100000,99,0,1.664552,0,3.000000,17.840918,11.578806,99,99,0,0,0,1,0
0,9999,6,0,6,0,40,9999,0.100000,99,0,0.000000,0,2.000000,25.703503,11.710276,99,99,0,0,0,0,0
0,9999,7,0,7,0,40,9999,0.100000,99,0,0.000000,0,2.000000,28.402445,11.301935,99,99,0,0,0,0,0
0,9999,8,0,8,0,40,9999,0.100000,99,0,0.000000,0,1.000000,19.363760,9.615285,99,99,0,0,0,0,0
0,9999,9,0,9,0,97,9999,0.100000,99,0,73.557753,0,15.000000,19.808160,23.648779,99,99,1,0,0,0,0
0,9999,10,0,10,0,41,9999,0.100000,99,0,0.000000,0,3.000000,16.390618,5.495296,99,99,0,0,0,0,0
0,9999,11,0,11,0,41,9999,0.100000,99,0,0.000000,0,5.000000,28.619613,11.368421,99,99,0,0,0,0,0
0,9999,12,0,12,0,40,9999,0.100000,99,0,0.000000,0,2.000000,25.132085,12.357887,99,99,0,0,0,0,0
0,9999,13,0,13,0,41,9999,0.100000,99,0,0.000000,0,3.000000,21.977479,10.220965,99,99,0,0,0,0,0
0,9999,14,0,14,0,1,9999,0.100000,99,0,0.994412,0,5.000000,24.698640,8.310278,99,99,0,0,1,0,0
0,9999,15,0,15,0,93,9999,0.100000,99,0,39.083463,0,8.000000,20.225947,16.498830,99,99,1,0,0,0,0
0,9999,16,0,16,0,0,9999,0.100000,99,0,1.722649,0,2.000000,26.036521,3.564585,99,99,0,0,0,1,0
0,9999,17,0,17,0,90,9999,0.100000,99,0,2.456924,0,1.000000,25.140013,3.622595,99,99,1,0,0,0,0
0,9999,18,0,18,0,0,9999,0.100000,99,0,0.006891,0,0.000000,27.837320,2.036846,99,99,0,0,0,1,0
0,9999,19,0,19,0,40,9999,0.100000,99,0,0.000000,0,0.000000,27.965523,8.536919,99,99,0,0,0,0,0
0,9999,20,0,20,0,40,9999,0.100000,99,0,0.000000,0,3.000000,29.289894,14.117467,99,99,0,0,0,0,0
0,9999,21,0,21,0,0,9999,0.100000,99,0,0.079332,0,2.000000,26.936647,4.762261,99,99,0,0,1,0,0
0,9999,22,0,22,0,0,9999,0.100000,99,0,0.764276,0,0.000000,20.030454,0.580035,99,99,0,0,0,0,1
0,9999,23,0,23,0,91,9999,0.100000,99,0,14.779419,0,3.000000,26.611141,6.235648,99,99,1,0,0,0,0
0,9999,24,0,24,0,97,9999,0.100000,99,0,87.207334,0,17.000000,20.855874,21.604660,99,99,1,0,0,0,0
0,9999,25,0,25,0,40,9999,0.100000,99,0,0.000000,0,1.000000,19.716995,2.856284,99,99,0,0,0,0,0
0,9999,26,0,26,0,40,9999,0.100000,99,0,0.000000,0,2.000000,24.436759,4.916482,99,99,0,0,0,0,0
0,9999,27,0,27,0,40,9999,0.100000,99,0,0.000000,0,1.000000,21.269871,5.175732,99,99,0,0,0,0,0
0,9999,28,0,28,0,40,9999,0.100000,99,0,0.000000,0,1.000000,23.861097,4.514791,99,99,0,0,0,0,0
0,9999,29,0,29,0,40,9999,0.100000,99,0,0.000000,0,1.000000,19.121952,11.033511,99,99,0,0,0,0,0
0,9999,30,0,30,0,0,9999,0.100000,99,0,0.045383,0,3.000000,28.722446,4.139597,99,99,0,1,0,0,0
0,9999,31,0,31,0,40,9999,0.100000,99,0,0.000000,0,1.000000,26.249615,10.000637,99,99,0,0,0,0,0
0,9999,32,0,32,0,40,9999,0.100000,99,0,0.000000,0,3.000000,30.530221,9.296573,99,99,0,0,0,0,0
0,9999,33,0,33,0,92,9999,0.100000,99,0,7.773583,0,4.000000,15.984146,8.780080,99,99,1,0,0,0,0
0,9999,34,0,34,0,0,9999,0.100000,99,0,0.712090,0,0.000000,25.634897,2.122624,99,99,0,1,0,0,0
0,9999,35,0,35,0,40,9999,0.100000,99,0,0.000000,0,1.000000,19.152595,6.085339,99,99,0,0,0,0,0
0,9999,36,0,36,0,41,9999,0.100000,99,0,0.000000,0,2.000000,15.053712,15.124842,99,99,0,0,0,0,0
0,9999,37,0,37,0,40,9999,0.100000,99,0,0.000000,0,2.000000,27.321952,5.740793,99,99,0,0,0,0,0
0,9999,38,0,38,0,42,9999,0.100000,99,0,0.000000,0,4.000000,15.015974,14.822120,99,99,0,0,0,0,0
0,9999,39,0,39,0,40,9999,0.100000,99,0,0.000000,0,0.000000,17.376313,8.981453,99,99,0,0,0,0,0
0,9999,40,0,40,0,40,9999,0.100000,99,0,0.000000,0,0.000000,26.794344,5.646064,99,99,0,0,0,0,0
0,9999,41,0,41,0,41,9999,0.100000,99,0,0.000000,0,3.000000,26.513025,19.209496,99,99,0,0,0,0,0
0,9999,42,0,42,0,0,9999,0.100000,99,0,0.181147,0,0.000000,23.011533,0.633738,99,99,0,1,0,0,0
0,9999,43,0,43,0,40,9999,0.100000,99,0,0.000000,0,1.000000,27.304624,6.645295,99,99,0,0,0,0,0
0,9999,44,0,44,0,98,9999,0.100000,99,0,71.395779,0,14.000000,16.300793,19.176866,99,99,1,0,0,0,0
0,9999,45,0,45,0,40,9999,0.100000,99,0,0.000000,0,0.000000,23.862179,6.427637,99,99,0,0,0,0,0
0,9999,46,0,46,0,41,9999,0.100000,99,0,0.000000,0,3.000000,21.574109,10.927051,99,99,0,0,0,0,0
0,9999,47,0,47,0,41,9999,0.100000,99,0,0.000000,0,2.000000,13.721558,21.065037,99,99,0,0,0,0,0
0,9999,48,0,48,0,40,9999,0.100000,99,0,0.000000,0,0.000000,23.403358,6.151310,99,99,0,0,0,0,0
0,9999,49,0,49,0,40,9999,0.100000,99,0,0.000000,0,1.000000,31.900913,9.732402,99,99,0,0,0,0,0
0,9999,50,0,50,0,41,9999,0.100000,99,0,0.000000,0,4.000000,21.217843,17.405897,99,99,0,0,0,0,0
0,9999,51,0,51,0,40,9999,0.100000,99,0,0.000000,0,1.000000,26.641214,7.136473,99,99,0,0,0,0,0
0,9999,52,0,52,0,40,9999,0.100000,99,0,0.000000,0,0.000000,30.278067,1.631120,99,99,0,0,0,0,0
0,9999,53,0,53,0,40,9999,0.100000,99,0,0.000000,0,2.000000,25.086418,7.873587,99,99,0,0,0,0,0
0,9999,54,0,54,0,40,9999,0.100000,99,0,0.000000,0,1.000000,28.253767,6.282940,99,99,0,0,0,0,0
0,9999,55,0,55,0,90,9999,0.100000,99,0,12.309996,0,2.000000,27.123084,8.008230,99,99,1,0,0,0,0
0,9999,56,0,56,0,41,9999,0.100000,99,0,0.000000,0,4.000000,27.065169,10.048101,99,99,0,0,0,0,0
0,9999,57,0,57,0,40,9999,0.100000,99,0,0.000000,0,0.000000,18.070936,5.061844,99,99,0,0,0,0,0
0,9999,58,0,58,0,0,9999,0.100000,99,0,0.146479,0,3.000000,32.717835,7.370200,99,99,0,1,0,0,0
0,9999,59,0,59,0,40,9999,0.100000,99,0,0.000000,0,1.000000,26.443844,4.240043,99,99,0,0,0,0,0
0,9999,60,0,60,0,91,9999,0.100000,99,0,11.528883,0,4.000000,29.897990,16.840404,99,99,1,0,0,0,0
0,9999,61,0,61,0,40,9999,0.100000,99,0,0.000000,0,1.000000,26.401219,9.307086,99,99,0,0,0,0,0
0,9999,62,0,62,0,40,9999,0.100000,99,0,0.000000,0,0.000000,30.288174,13.328917,99,99,0,0,0,0,0
0,9999,63,0,63,0,94,9999,0.100000,99,0,56.098752,0,11.000000,25.161135,19.057054,99,99,1,0,0,0,0
0,9999,64,0,64,0,40,9999,0.100000,99,0,0.000000,0,0.000000,21.985408,21.332137,99,99,0,0,0,0,0
