generation,map_index,token_ratio,explore_dist,min_fitness,max_fitness,mean_fitness,median_fitness,sd,se,var,n,ancestors
0,0,0.000000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
0,1,0.000000,0.500000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
0,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
0,3,0.500000,0.500000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
1,0,0.000000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
1,1,0.000000,0.500000,0,58,0.000000,58,57.108580,5.710858,3261.389854,100,4
1,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
1,3,0.500000,0.500000,0,47,0.000000,47,47.368421,14.282116,2243.767313,11,1
2,0,0.000000,0.000000,0,69,0.000000,62,63.917888,6.423989,4085.496406,99,5
2,1,0.000000,0.500000,0,58,0.000000,58,58.365277,5.836528,3406.505542,100,1
2,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
2,3,0.500000,0.500000,0,47,0.000000,47,47.368421,4.736842,2243.767313,100,1
3,0,0.000000,0.000000,0,69,0.000000,69,69.726211,6.972621,4861.744554,100,1
3,1,0.000000,0.500000,0,62,0.000000,58,59.955191,5.995519,3594.624945,100,2
3,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
3,3,0.500000,0.500000,0,47,0.000000,47,47.368421,4.736842,2243.767313,100,1
4,0,0.000000,0.000000,0,69,0.000000,69,69.726211,6.972621,4861.744554,100,1
4,1,0.000000,0.500000,0,65,0.000000,65,65.728808,6.572881,4320.276143,100,2
4,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
4,3,0.500000,0.500000,0,47,0.000000,47,47.368421,4.736842,2243.767313,100,1
5,0,0.000000,0.000000,0,69,0.000000,69,69.726211,6.972621,4861.744554,100,1
5,1,0.000000,0.500000,0,72,0.000000,65,67.623182,6.762318,4572.894764,100,2
5,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
5,3,0.500000,0.500000,0,47,0.000000,47,47.368421,4.736842,2243.767313,100,1
6,0,0.000000,0.000000,0,72,0.000000,72,72.428323,7.242832,5245.861998,100,2
6,1,0.000000,0.500000,0,72,0.000000,72,72.937144,7.293714,5319.827044,100,1
6,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
6,3,0.500000,0.500000,0,47,0.000000,47,47.368421,4.736842,2243.767313,100,1
7,0,0.000000,0.000000,0,72,0.000000,72,72.627640,7.262764,5274.774063,100,1
7,1,0.000000,0.500000,0,72,0.000000,72,72.937144,7.293714,5319.827044,100,1
7,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
7,3,0.500000,0.500000,0,47,0.000000,47,47.368421,4.736842,2243.767313,100,1
8,0,0.000000,0.000000,0,72,0.000000,72,72.627640,7.262764,5274.774063,100,1
8,1,0.000000,0.500000,0,72,0.000000,72,72.937144,7.293714,5319.827044,100,1
8,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
8,3,0.500000,0.500000,0,47,0.000000,47,47.368421,4.736842,2243.767313,100,1
