generation,iteration,robot,birthday,ancestor_id,ancestor_birthday,cell_id,age,sigma,maps,genomes,fitness,cells_in_map,dist_max,dist_pot_max,dist_total,com_rx,com_tx,obj_group1,obj_group2,obj_group3,obj_group4,obj_group5
0,9999,0,0,0,0,91,9999,0.100000,99,0,9.450042,0,3.000000,26.226521,9.510475,99,99,1,0,0,0,0
0,9999,1,0,1,0,42,9999,0.100000,99,0,0.000000,0,5.000000,16.946222,12.678897,99,99,0,0,0,0,0
0,9999,2,0,2,0,40,9999,0.100000,99,0,0.000000,0,1.000000,19.885849,8.980375,99,99,0,0,0,0,0
0,9999,3,0,3,0,40,9999,0.100000,99,0,0.000000,0,0.000000,25.009664,4.924528,99,99,0,0,0,0,0
0,9999,4,0,4,0,90,9999,0.100000,99,0,8.213975,0,2.000000,27.940178,12.321328,99,99,1,0,0,0,0
0,9999,5,0,5,0,0,9999,0.100000,99,0,0.549426,0,1.000000,25.532225,2.648624,99,99,0,0,1,0,0
0,9999,6,0,6,0,0,9999,0.100000,99,0,0.163070,0,2.000000,25.493547,4.433875,99,99,0,0,0,1,0
0,9999,7,0,7,0,40,9999,0.100000,99,0,0.000000,0,1.000000,23.160547,11.247425,99,99,0,0,0,0,0
0,9999,8,0,8,0,2,9999,0.100000,99,0,0.001523,0,4.000000,15.603570,8.608048,99,99,0,0,0,0,1
0,9999,9,0,9,0,40,9999,0.100000,99,0,0.000000,0,1.000000,24.972308,8.154562,99,99,0,0,0,0,0
0,9999,10,0,10,0,40,9999,0.100000,99,0,0.000000,0,2.000000,26.277899,8.468572,99,99,0,0,0,0,0
0,9999,11,0,11,0,40,9999,0.100000,99,0,0.000000,0,0.000000,18.139410,4.975048,99,99,0,0,0,0,0
0,9999,12,0,12,0,40,9999,0.100000,99,0,0.000000,0,2.000000,30.242530,8.033970,99,99,0,0,0,0,0
0,9999,13,0,13,0,40,9999,0.100000,99,0,0.000000,0,2.000000,26.330646,15.589676,99,99,0,0,0,0,0
0,9999,14,0,14,0,91,9999,0.100000,99,0,32.953946,0,6.000000,29.304144,15.274883,99,99,1,0,0,0,0
0,9999,15,0,15,0,0,9999,0.100000,99,0,0.021204,0,3.000000,28.754466,8.544220,99,99,0,0,0,0,1
0,9999,16,0,16,0,0,9999,0.100000,99,0,0.081006,0,1.000000,28.139735,4.043425,99,99,0,0,1,0,0
0,9999,17,0,17,0,40,9999,0.100000,99,0,0.000000,0,1.000000,24.018559,5.971554,99,99,0,0,0,0,0
0,9999,18,0,18,0,0,9999,0.100000,99,0,0.176131,0,1.000000,17.433034,4.178088,99,99,0,0,0,0,1
0,9999,19,0,19,0,40,9999,0.100000,99,0,0.000000,0,2.000000,20.962208,11.560253,99,99,0,0,0,0,0
