generation,map_index,token_ratio,explore_dist,min_fitness,max_fitness,mean_fitness,median_fitness,sd,se,var,n,ancestors
0,0,0.000000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
0,1,0.000000,0.500000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
0,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
0,3,0.500000,0.500000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
1,0,0.000000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
1,1,0.000000,0.500000,0,51,0.000000,51,50.867605,5.086761,2587.513256,100,3
1,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
1,3,0.500000,0.500000,0,96,0.000000,44,59.938616,6.318085,3592.637649,90,3
2,0,0.000000,0.000000,0,54,0.000000,53,49.453116,4.945312,2445.610694,100,5
2,1,0.000000,0.500000,0,58,0.000000,58,57.778136,5.777814,3338.313019,100,2
2,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,61,1
2,3,0.500000,0.500000,0,96,0.000000,96,96.948078,9.694808,9398.929899,100,1
3,0,0.000000,0.000000,0,63,0.000000,63,61.244228,6.124423,3750.855423,100,2
3,1,0.000000,0.500000,0,58,0.000000,58,58.756250,5.875625,3452.296965,100,1
3,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,100,1
3,3,0.500000,0.500000,0,96,0.000000,96,96.948078,9.694808,9398.929899,100,1
4,0,0.000000,0.000000,0,63,0.000000,63,63.589174,6.358917,4043.582990,100,1
4,1,0.000000,0.500000,0,63,0.000000,63,63.151389,6.315139,3988.097978,100,2
4,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,100,1
4,3,0.500000,0.500000,0,96,0.000000,96,96.948078,9.694808,9398.929899,100,1
5,0,0.000000,0.000000,0,63,0.000000,63,63.589174,6.358917,4043.582990,100,1
5,1,0.000000,0.500000,0,63,0.000000,63,63.727245,6.372724,4061.161752,100,1
5,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,100,1
5,3,0.500000,0.500000,0,96,0.000000,96,96.948078,9.694808,9398.929899,100,1
6,0,0.000000,0.000000,0,63,0.000000,63,63.589174,6.358917,4043.582990,100,1
6,1,0.000000,0.500000,0,63,0.000000,63,63.727245,6.372724,4061.161752,100,1
6,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,100,1
6,3,0.500000,0.500000,0,96,0.000000,96,96.948078,9.694808,9398.929899,100,1
7,0,0.000000,0.000000,0,63,0.000000,63,63.589174,6.358917,4043.582990,100,1
7,1,0.000000,0.500000,0,63,0.000000,63,63.727245,6.372724,4061.161752,100,1
7,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,100,1
7,3,0.500000,0.500000,0,96,0.000000,96,96.948078,9.694808,9398.929899,100,1
8,0,0.000000,0.000000,0,63,0.000000,63,63.589174,6.358917,4043.582990,100,1
8,1,0.000000,0.500000,0,63,0.000000,63,63.727245,6.372724,4061.161752,100,1
8,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,100,1
8,3,0.500000,0.500000,0,96,0.000000,96,96.948078,9.694808,9398.929899,100,1
