generation,iteration,robot,birthday,ancestor_id,ancestor_birthday,cell_id,age,sigma,maps,genomes,fitness,cells_in_map,dist_max,dist_pot_max,dist_total,com_rx,com_tx,obj_group1,obj_group2,obj_group3,obj_group4,obj_group5
0,9999,0,0,0,0,95,9999,0.100000,99,0,79.291146,0,14.000000,22.332883,24.286735,99,99,1,0,0,0,0
0,9999,1,0,1,0,41,9999,0.100000,99,0,0.000000,0,3.000000,28.123189,15.227450,99,99,0,0,0,0,0
0,9999,2,0,2,0,90,9999,0.100000,99,0,18.976219,0,3.000000,29.120669,9.569237,99,99,1,0,0,0,0
0,9999,3,0,3,0,41,9999,0.100000,99,0,0.000000,0,4.000000,32.811400,12.139698,99,99,0,0,0,0,0
0,9999,4,0,4,0,40,9999,0.100000,99,0,0.000000,0,1.000000,30.511704,3.677972,99,99,0,0,0,0,0
0,9999,5,0,5,0,41,9999,0.100000,99,0,0.000000,0,4.000000,29.220042,14.546944,99,99,0,0,0,0,0
0,9999,6,0,6,0,41,9999,0.100000,99,0,0.000000,0,5.000000,28.506756,15.554465,99,99,0,0,0,0,0
0,9999,7,0,7,0,40,9999,0.100000,99,0,0.000000,0,2.000000,19.794386,6.534945,99,99,0,0,0,0,0
0,9999,8,0,8,0,2,9999,0.100000,99,0,19.124535,0,7.000000,23.994642,18.232867,99,99,0,0,1,0,0
0,9999,9,0,9,0,40,9999,0.100000,99,0,0.000000,0,2.000000,28.516209,11.228369,99,99,0,0,0,0,0
0,9999,10,0,10,0,41,9999,0.100000,99,0,0.000000,0,3.000000,28.474307,7.126158,99,99,0,0,0,0,0
0,9999,11,0,11,0,92,9999,0.100000,99,0,41.551458,0,8.000000,25.743253,16.354632,99,99,1,0,0,0,0
0,9999,12,0,12,0,40,9999,0.100000,99,0,0.000000,0,3.000000,31.241704,12.696365,99,99,0,0,0,0,0
0,9999,13,0,13,0,40,9999,0.100000,99,0,0.000000,0,2.000000,21.596551,9.773900,99,99,0,0,0,0,0
0,9999,14,0,14,0,42,9999,0.100000,99,0,0.000000,0,7.000000,27.154008,12.645105,99,99,0,0,0,0,0
0,9999,15,0,15,0,40,9999,0.100000,99,0,0.000000,0,0.000000,11.220655,9.002774,99,99,0,0,0,0,0
0,9999,16,0,16,0,91,9999,0.100000,99,0,3.866069,0,2.000000,16.767570,6.095581,99,99,1,0,0,0,0
0,9999,17,0,17,0,1,9999,0.100000,99,0,20.331598,0,4.000000,26.006561,6.706063,99,99,0,0,1,0,0
0,9999,18,0,18,0,40,9999,0.100000,99,0,0.000000,0,2.000000,27.640011,9.892423,99,99,0,0,0,0,0
0,9999,19,0,19,0,1,9999,0.100000,99,0,0.151343,0,3.000000,18.220097,5.226837,99,99,0,1,0,0,0
0,9999,20,0,20,0,41,9999,0.100000,99,0,0.000000,0,4.000000,30.082331,12.771796,99,99,0,0,0,0,0
0,9999,21,0,21,0,92,9999,0.100000,99,0,0.447486,0,3.000000,14.220189,11.678950,99,99,1,0,0,0,0
0,9999,22,0,22,0,40,9999,0.100000,99,0,0.000000,0,1.000000,27.513709,15.497914,99,99,0,0,0,0,0
0,9999,23,0,23,0,40,9999,0.100000,99,0,0.000000,0,3.000000,29.833810,17.807441,99,99,0,0,0,0,0
0,9999,24,0,24,0,43,9999,0.100000,99,0,0.000000,0,11.000000,27.767386,18.219770,99,99,0,0,0,0,0
0,9999,25,0,25,0,40,9999,0.100000,99,0,0.000000,0,1.000000,27.488854,11.448082,99,99,0,0,0,0,0
0,9999,26,0,26,0,90,9999,0.100000,99,0,2.795757,0,1.000000,23.182564,6.130117,99,99,1,0,0,0,0
0,9999,27,0,27,0,90,9999,0.100000,99,0,10.260039,0,1.000000,34.836465,13.307500,99,99,1,0,0,0,0
0,9999,28,0,28,0,40,9999,0.100000,99,0,0.000000,0,0.000000,18.249242,0.888426,99,99,0,0,0,0,0
