generation,iteration,robot,birthday,ancestor_id,ancestor_birthday,cell_id,age,sigma,maps,genomes,fitness,cells_in_map,dist_max,dist_pot_max,dist_total,com_rx,com_tx,obj_group1,obj_group2,obj_group3,obj_group4,obj_group5
0,9999,0,0,0,0,40,9999,0.100000,99,0,0.000000,0,1.000000,31.459730,5.840542,99,99,0,0,0,0,0
0,9999,1,0,1,0,0,9999,0.100000,99,0,0.568134,0,1.000000,21.307077,1.928902,99,99,0,0,0,1,0
0,9999,2,0,2,0,1,9999,0.100000,99,0,0.018328,0,3.000000,23.245754,9.767777,99,99,0,0,0,1,0
0,9999,3,0,3,0,2,9999,0.100000,99,0,36.046696,0,6.000000,21.292918,10.483877,99,99,0,1,0,0,0
0,9999,4,0,4,0,43,9999,0.100000,99,0,0.000000,0,9.000000,24.766516,20.273190,99,99,0,0,0,0,0
0,9999,5,0,5,0,91,9999,0.100000,99,0,17.446293,0,5.000000,29.803535,30.551577,99,99,1,0,0,0,0
0,9999,6,0,6,0,40,9999,0.100000,99,0,0.000000,0,1.000000,31.146394,11.083730,99,99,0,0,0,0,0
0,9999,7,0,7,0,95,9999,0.100000,99,0,47.596293,0,14.000000,22.264175,22.365066,99,99,1,0,0,0,0
0,9999,8,0,8,0,40,9999,0.100000,99,0,0.000000,0,2.000000,29.384788,9.508698,99,99,0,0,0,0,0
0,9999,9,0,9,0,41,9999,0.100000,99,0,0.000000,0,4.000000,26.907099,17.795933,99,99,0,0,0,0,0
0,9999,10,0,10,0,91,9999,0.100000,99,0,25.451002,0,5.000000,26.530275,22.002210,99,99,1,0,0,0,0
0,9999,11,0,11,0,40,9999,0.100000,99,0,0.000000,0,2.000000,20.107918,10.063533,99,99,0,0,0,0,0
0,9999,12,0,12,0,0,9999,0.100000,99,0,0.002070,0,1.000000,24.005713,2.542564,99,99,0,0,0,0,1
0,9999,13,0,13,0,41,9999,0.100000,99,0,0.000000,0,4.000000,32.373198,9.053856,99,99,0,0,0,0,0
0,9999,14,0,14,0,40,9999,0.100000,99,0,0.000000,0,0.000000,35.407282,8.840680,99,99,0,0,0,0,0
0,9999,15,0,15,0,91,9999,0.100000,99,0,26.689910,0,6.000000,30.360010,13.031710,99,99,1,0,0,0,0
0,9999,16,0,16,0,40,9999,0.100000,99,0,0.000000,0,2.000000,31.564090,10.259362,99,99,0,0,0,0,0
0,9999,17,0,17,0,40,9999,0.100000,99,0,0.000000,0,2.000000,19.902020,9.506889,99,99,0,0,0,0,0
0,9999,18,0,18,0,94,9999,0.100000,99,0,37.467683,0,8.000000,16.382006,13.673225,99,99,1,0,0,0,0
0,9999,19,0,19,0,0,9999,0.100000,99,0,4.251848,0,0.000000,17.864477,1.303010,99,99,0,0,1,0,0
0,9999,20,0,20,0,42,9999,0.100000,99,0,0.000000,0,6.000000,21.638728,8.709612,99,99,0,0,0,0,0
0,9999,21,0,21,0,40,9999,0.100000,99,0,0.000000,0,1.000000,23.398881,6.663089,99,99,0,0,0,0,0
0,9999,22,0,22,0,40,9999,0.100000,99,0,0.000000,0,2.000000,28.962331,16.280396,99,99,0,0,0,0,0
0,9999,23,0,23,0,41,9999,0.100000,99,0,0.000000,0,4.000000,22.816006,12.509861,99,99,0,0,0,0,0
0,9999,24,0,24,0,40,9999,0.100000,99,0,0.000000,0,1.000000,25.086749,4.158411,99,99,0,0,0,0,0
0,9999,25,0,25,0,0,9999,0.100000,99,0,0.033777,0,1.000000,24.402778,4.333803,99,99,0,0,0,0,1
0,9999,26,0,26,0,40,9999,0.100000,99,0,0.000000,0,3.000000,31.303756,12.024358,99,99,0,0,0,0,0
0,9999,27,0,27,0,40,9999,0.100000,99,0,0.000000,0,1.000000,17.212489,6.582029,99,99,0,0,0,0,0
0,9999,28,0,28,0,40,9999,0.100000,99,0,0.000000,0,3.000000,29.673587,16.292652,99,99,0,0,0,0,0
0,9999,29,0,29,0,40,9999,0.100000,99,0,0.000000,0,1.000000,15.547071,11.016193,99,99,0,0,0,0,0
0,9999,30,0,30,0,40,9999,0.100000,99,0,0.000000,0,1.000000,28.962067,9.479799,99,99,0,0,0,0,0
0,9999,31,0,31,0,40,9999,0.100000,99,0,0.000000,0,0.000000,24.758049,7.900641,99,99,0,0,0,0,0
0,9999,32,0,32,0,94,9999,0.100000,99,0,76.331657,0,15.000000,28.788294,19.073267,99,99,1,0,0,0,0
0,9999,33,0,33,0,41,9999,0.100000,99,0,0.000000,0,2.000000,16.135145,8.961643,99,99,0,0,0,0,0
0,9999,34,0,34,0,41,9999,0.100000,99,0,0.000000,0,3.000000,27.802528,7.050142,99,99,0,0,0,0,0
0,9999,35,0,35,0,40,9999,0.100000,99,0,0.000000,0,2.000000,28.564752,9.643749,99,99,0,0,0,0,0
0,9999,36,0,36,0,40,9999,0.100000,99,0,0.000000,0,2.000000,27.363180,13.371741,99,99,0,0,0,0,0
0,9999,37,0,37,0,40,9999,0.100000,99,0,0.000000,0,1.000000,27.275416,10.399286,99,99,0,0,0,0,0
0,9999,38,0,38,0,41,9999,0.100000,99,0,0.000000,0,3.000000,27.677670,32.433753,99,99,0,0,0,0,0
0,9999,39,0,39,0,40,9999,0.100000,99,0,0.000000,0,1.000000,12.184033,5.076315,99,99,0,0,0,0,0
0,9999,40,0,40,0,0,9999,0.100000,99,0,0.766980,0,0.000000,24.948244,0.993212,99,99,0,0,0,1,0
0,9999,41,0,41,0,0,9999,0.100000,99,0,0.008150,0,2.000000,23.096946,3.125296,99,99,0,0,1,0,0
0,9999,42,0,42,0,1,9999,0.100000,99,0,0.298776,0,4.000000,30.484140,8.205370,99,99,0,1,0,0,0
0,9999,43,0,43,0,90,9999,0.100000,99,0,15.543747,0,2.000000,31.924416,6.170213,99,99,1,0,0,0,0
0,9999,44,0,44,0,93,9999,0.100000,99,0,60.574686,0,9.000000,22.384264,18.678294,99,99,1,0,0,0,0
0,9999,45,0,45,0,40,9999,0.100000,99,0,0.000000,0,1.000000,13.501829,4.428397,99,99,0,0,0,0,0
0,9999,46,0,46,0,42,9999,0.100000,99,0,0.000000,0,7.000000,29.400258,18.154982,99,99,0,0,0,0,0
0,9999,47,0,47,0,40,9999,0.100000,99,0,0.000000,0,2.000000,24.187671,13.824368,99,99,0,0,0,0,0
0,9999,48,0,48,0,94,9999,0.100000,99,0,56.934179,0,14.000000,27.244709,25.789459,99,99,1,0,0,0,0
0,9999,49,0,49,0,40,9999,0.100000,99,0,0.000000,0,1.000000,19.403191,6.682050,99,99,0,0,0,0,0
0,9999,50,0,50,0,41,9999,0.100000,99,0,0.000000,0,5.000000,25.920113,20.951024,99,99,0,0,0,0,0
0,9999,51,0,51,0,0,9999,0.100000,99,0,0.098107,0,1.000000,23.736084,1.795762,99,99,0,0,0,0,1
0,9999,52,0,52,0,40,9999,0.100000,99,0,0.000000,0,1.000000,23.340540,8.449441,99,99,0,0,0,0,0
0,9999,53,0,53,0,90,9999,0.100000,99,0,0.800817,0,0.000000,27.459668,2.851170,99,99,1,0,0,0,0
0,9999,54,0,54,0,40,9999,0.100000,99,0,0.000000,0,1.000000,35.505489,16.500398,99,99,0,0,0,0,0
0,9999,55,0,55,0,0,9999,0.100000,99,0,0.151786,0,1.000000,15.724509,1.591140,99,99,0,1,0,0,0
0,9999,56,0,56,0,40,9999,0.100000,99,0,0.000000,0,2.000000,23.703284,8.848056,99,99,0,0,0,0,0
0,9999,57,0,57,0,96,9999,0.100000,99,0,72.050657,0,13.000000,19.588013,25.043003,99,99,1,0,0,0,0
0,9999,58,0,58,0,95,9999,0.100000,99,0,57.953500,0,11.000000,18.872993,20.727087,99,99,1,0,0,0,0
0,9999,59,0,59,0,41,9999,0.100000,99,0,0.000000,0,5.000000,28.253767,8.516929,99,99,0,0,0,0,0
0,9999,60,0,60,0,40,9999,0.100000,99,0,0.000000,0,2.000000,32.067624,9.260118,99,99,0,0,0,0,0
0,9999,61,0,61,0,40,9999,0.100000,99,0,0.000000,0,1.000000,13.710795,11.723951,99,99,0,0,0,0,0
0,9999,62,0,62,0,40,9999,0.100000,99,0,0.000000,0,1.000000,27.953551,8.062715,99,99,0,0,0,0,0
0,9999,63,0,63,0,96,9999,0.100000,99,0,83.089058,0,14.000000,19.192388,26.336443,99,99,1,0,0,0,0
0,9999,64,0,64,0,40,9999,0.100000,99,0,0.000000,0,2.000000,19.483143,6.779451,99,99,0,0,0,0,0
0,9999,65,0,65,0,40,9999,0.100000,99,0,0.000000,0,2.000000,27.159254,9.759775,99,99,0,0,0,0,0
0,9999,66,0,66,0,41,9999,0.100000,99,0,0.000000,0,3.000000,21.486514,13.306006,99,99,0,0,0,0,0
0,9999,67,0,67,0,41,9999,0.100000,99,0,0.000000,0,3.000000,26.391766,7.824865,99,99,0,0,0,0,0
0,9999,68,0,68,0,40,9999,0.100000,99,0,0.000000,0,1.000000,21.180340,6.197902,99,99,0,0,0,0,0
0,9999,69,0,69,0,40,9999,0.100000,99,0,0.000000,0,0.000000,26.860012,2.125545,99,99,0,0,0,0,0
