generation,resource_type,initial_x_pos, initial_y_pos, final_x_pos, final_y_pos, distance, isCollected
0,1,-8.500000, -6.200000,-8.890932, -6.401772,0.440042,0
0,1,0.200000, 6.300000,0.199309, 6.299890,0.009873,0
0,1,-8.000000, 1.400000,-7.906271, -8.529794,9.930241,1
0,1,5.900000, 8.500000,5.878699, -8.597269,17.097285,1
0,1,3.500000, 5.400000,3.127864, -8.466468,13.871464,1
0,1,-1.600000, 3.200000,-1.600649, 3.199940,0.009872,0
0,1,7.300000, 4.900000,7.299342, 4.900022,0.009870,0
0,1,5.600000, 0.200000,5.856265, 0.067699,0.288569,0
0,1,7.000000, -6.600000,6.722633, -6.514234,0.290497,0
0,1,5.300000, -4.500000,5.279451, -8.561203,4.061267,1
0,1,-1.100000, 9.000000,-0.941138, -7.442006,16.442776,0
0,1,0.300000, 2.200000,-0.839720, 1.351400,1.420977,0
0,1,-4.900000, 1.700000,-4.950791, -8.612556,10.312686,1
0,1,0.800000, 0.100000,0.713198, -8.583645,8.684084,1
0,1,7.100000, -7.200000,7.099330, -7.199924,0.009868,0
0,1,-7.400000, 5.300000,-7.400807, 5.299989,0.009880,0
0,1,0.900000, 5.000000,-1.115871, -8.533852,13.683164,1
0,1,9.000000, -0.800000,8.999340, -0.799944,0.009872,0
0,1,0.300000, -5.700000,0.299720, -5.699927,0.009848,0
0,1,-7.900000, -5.000000,-8.103681, -6.816266,1.827678,0
0,1,-2.600000, -7.000000,-2.607914, -8.529262,1.529313,1
0,1,4.000000, -4.800000,4.014461, -5.059353,0.259937,0
0,1,-1.000000, 7.200000,-0.942208, 6.928242,0.278009,0
0,1,-0.300000, 5.600000,-0.431593, -3.569329,9.170278,0
0,1,-0.500000, -0.500000,-1.245566, -8.755296,8.288901,1
0,1,6.100000, -4.800000,6.113672, -8.636986,3.837023,1
0,1,-1.900000, 4.800000,-2.116953, -8.531186,13.332955,1
0,1,4.000000, 0.700000,3.826803, -4.755680,5.458437,0
0,1,-6.900000, 3.100000,-6.900529, 3.100192,0.009862,0
0,1,2.900000, 0.800000,3.705438, -8.568312,9.402877,1
0,2,-3.900000, 7.400000,-5.190014, 8.123544,1.479103,0
0,2,-8.600000, 2.900000,-9.076592, 3.544535,0.801661,0
0,2,0.200000, -7.400000,0.217627, -9.078176,1.678296,1
0,2,0.300000, -3.000000,-0.092775, -8.582459,5.596268,1
0,2,-7.000000, 8.300000,-5.898712, 8.091952,1.120811,0
0,3,2.900000, -3.400000,3.153893, -3.189707,0.329819,0
0,3,-8.200000, -3.800000,-8.415235, -6.337284,2.546416,0
0,3,-3.600000, 9.400000,-3.599824, 9.400074,0.009953,0
0,3,-2.800000, 1.900000,-2.805679, 1.872064,0.030153,0
0,3,-2.900000, -3.800000,-2.850530, -2.927729,0.873729,0
0,4,-3.900000, 3.800000,-3.652545, 3.602712,0.316628,0
0,4,6.700000, 6.400000,6.737860, 6.398982,0.039166,0
0,4,-7.000000, -2.500000,-7.209549, -2.331769,0.268901,0
0,4,-9.100000, 9.300000,-9.099732, 9.300028,0.009956,0
0,4,6.700000, 3.800000,6.879832, 3.762167,0.184035,0
0,5,-3.900000, 6.100000,-3.988654, 5.895411,0.223189,0
0,5,7.500000, 1.000000,7.403261, 0.908163,0.133755,0
0,5,9.100000, 3.400000,9.250969, 3.528859,0.198728,0
0,5,7.300000, -0.900000,7.294610, -0.727728,0.172642,0
0,5,4.800000, -2.100000,4.905119, -2.159708,0.121296,0
1,1,-8.891020, -6.401798,-8.894999, -6.416117,0.014861,0
1,1,0.199309, 6.299799,0.199277, 6.299954,0.000159,0
1,1,-7.906294, -8.529776,-7.906338, -8.529867,0.000102,1
1,1,5.878761, -8.597256,5.878628, -8.597445,0.000248,1
1,1,3.127812, -8.466527,3.127676, -8.466607,0.000161,1
1,1,-1.600742, 3.199940,-1.600605, 3.199963,0.000139,0
1,1,7.299342, 4.899930,7.299331, 4.899990,0.000061,0
1,1,5.856297, 0.067783,5.856291, 0.067765,0.000018,0
1,1,6.722692, -6.514032,6.604094, -8.572417,2.061799,1
1,1,5.279460, -8.561054,5.320820, -8.598483,0.055782,1
1,1,-0.939185, -7.441567,-0.807664, -7.323348,0.176868,0
1,1,-0.839755, 1.351447,-0.919107, 0.195270,1.158896,0
1,1,-4.950736, -8.612525,-4.950601, -8.612445,0.000157,1
1,1,0.713310, -8.583692,0.712798, -8.584006,0.000623,1
1,1,7.099330, -7.199834,7.108215, -8.571195,1.371390,1
1,1,-7.400899, 5.299988,-8.713171, -8.526548,13.888671,1
1,1,-1.115821, -8.533902,-1.115769, -8.534142,0.000267,1
1,1,8.999339, -0.799850,8.999277, -0.799855,0.000062,0
1,1,0.299630, -5.699927,0.299736, -5.699883,0.000115,0
1,1,-8.103676, -6.816357,-7.453909, -7.062490,0.694823,0
1,1,-2.607978, -8.529303,-2.607732, -8.529048,0.000354,1
1,1,4.014566, -5.059359,3.912574, -5.094586,0.107904,0
1,1,-0.942255, 6.928163,-0.942184, 6.928236,0.000103,0
1,1,-0.432914, -3.572395,-0.672844, -8.556543,4.989920,1
1,1,-1.245562, -8.755426,-1.385372, -8.598214,0.210387,1
1,1,6.113662, -8.636912,6.113832, -8.637456,0.000581,1
1,1,-2.116822, -8.531227,-2.116668, -8.531296,0.000237,1
1,1,3.826598, -4.755679,3.609225, -8.614783,3.865221,1
1,1,-6.900529, 3.100100,-6.387835, -8.526011,11.637410,1
1,1,3.705492, -8.568328,3.723946, -8.734210,0.166906,1
1,2,-5.190059, 8.123462,-4.248391, 9.025444,1.303959,0
1,2,-9.076603, 3.544533,-9.062649, 3.557509,0.019056,0
1,2,0.217627, -9.078176,0.192795, -9.138087,0.064854,1
1,2,-0.092775, -8.582459,-0.276632, -8.728753,0.234958,1
1,2,-5.898667, 8.091980,-3.829966, 8.522048,2.112932,0
1,3,3.154335, -3.189290,3.864444, -2.484792,1.000286,0
1,3,-8.415268, -6.337292,-7.784274, -6.696418,0.726034,0
1,3,-3.599860, 9.400074,-3.523843, 9.447408,0.089550,0
1,3,-2.805718, 1.872144,-3.273788, 2.183560,0.562200,0
1,3,-2.850766, -2.927508,-3.713214, -2.245196,1.099712,0
1,4,-3.652474, 3.602700,-2.272968, 4.833099,1.848492,0
1,4,6.737860, 6.398952,7.344170, 6.423921,0.606824,0
