generation,resource_type,initial_x_pos, initial_y_pos, final_x_pos, final_y_pos, distance, isCollected
0,1,-6.700000, -3.900000,-6.498934, -8.529389,4.633764,1
0,1,2.300000, 5.900000,1.805610, -7.048167,12.957604,0
0,1,8.400000, 0.600000,8.302354, -8.576494,9.177019,1
0,1,-3.500000, 2.100000,-3.500681, 2.100147,0.009872,0
0,1,0.300000, 3.600000,0.299333, 3.600073,0.009869,0
0,2,-0.400000, 0.200000,-0.399569, 0.200035,0.009944,0
0,2,4.900000, -2.800000,4.852015, -2.742487,0.075551,0
0,2,0.700000, -5.200000,0.699235, -5.088035,0.112323,0
0,2,-0.800000, -5.200000,-1.114788, -5.315348,0.335399,0
0,2,1.700000, 1.200000,2.227862, 1.224472,0.528520,0
0,3,4.700000, 2.800000,4.333341, 2.975595,0.406659,0
0,3,-4.800000, 5.400000,-4.799788, 5.400009,0.009952,0
0,3,-3.000000, -4.200000,-2.277793, -2.781817,1.591513,0
0,3,-6.800000, 0.200000,-6.807147, -0.166435,0.366638,0
0,3,-4.100000, 3.900000,-4.059387, 3.878977,0.046795,0
0,4,3.300000, -2.900000,3.332911, -2.942787,0.054859,0
0,4,-5.300000, 6.500000,-5.305078, 6.317651,0.182689,0
0,4,2.100000, -7.400000,2.425608, -7.366272,0.327496,0
0,4,-1.500000, 2.700000,-1.639324, 2.849859,0.204860,0
0,4,8.400000, 8.100000,8.394156, 7.832663,0.267580,0
0,5,7.000000, -5.700000,6.997215, -5.584868,0.115602,0
0,5,-1.600000, 6.400000,-1.605263, 6.314842,0.085896,0
0,5,0.200000, -2.300000,0.085093, -2.439488,0.180996,0
0,5,-2.300000, -1.700000,-2.426529, -1.774507,0.147181,0
0,5,7.400000, 4.900000,7.406628, 4.981394,0.082307,0
0,5,9.100000, -5.600000,9.100011, -5.599987,0.009956,0
0,5,3.200000, 1.000000,3.193249, 1.001852,0.012187,0
0,5,-4.799581, 1.304473,-4.791956, 1.430323,0.126473,0
0,5,-1.200000, 4.100000,-1.112432, 4.093870,0.088345,0
0,5,-6.900003, 5.400000,-7.083966, 6.226106,0.846593,0
0,5,-8.200000, -6.600000,-8.125690, -6.624006,0.078702,0
0,5,-0.700000, 8.000000,-0.814301, 7.882933,0.163910,0
0,5,-9.000000, -4.300000,-9.127361, -4.297520,0.127761,0
0,5,-3.900000, 8.200000,-3.901042, 8.193813,0.011784,0
0,5,-9.200000, 6.400000,-9.199874, 6.396050,0.010707,0
0,5,-3.400000, 0.700000,-3.390880, 0.494234,0.206211,0
0,5,0.200000, 5.600000,0.223983, 5.596574,0.026186,0
0,5,-6.300000, 1.900000,-6.300206, 1.890462,0.013786,0
0,5,3.700000, -5.900000,3.699465, -5.897789,0.010208,0
0,5,4.200000, -7.100000,4.200483, -7.102166,0.010192,0
0,5,3.400000, 8.900000,3.401662, 8.910661,0.014652,0
0,5,6.700000, -1.600000,6.700125, -1.600039,0.009952,0
0,5,7.900000, 6.800000,7.880718, 6.738437,0.065281,0
0,5,9.200000, 6.200000,9.200168, 6.199971,0.009951,0
0,5,-1.500000, -3.100000,-1.275641, -3.065842,0.227162,0
0,5,-6.400000, 7.800000,-6.324837, 7.807068,0.076151,0
0,5,-2.400000, -7.100000,-2.399831, -7.100010,0.009953,0
0,5,-6.699997, 4.300000,-6.712252, 4.329211,0.031686,0
0,5,5.300000, -5.000000,5.300064, -4.999999,0.009955,0
0,5,-8.500000, 1.200000,-8.396848, 1.319366,0.158076,0
1,1,-6.498981, -8.529379,-6.499024, -8.529552,0.000178,1
1,1,1.805571, -7.048256,2.326312, -6.778435,0.586500,0
1,1,8.302404, -8.576556,8.302038, -8.576630,0.000374,1
1,1,-3.500592, 2.100146,-3.500632, 2.100150,0.000040,0
1,1,0.299424, 3.600073,0.299240, 3.600084,0.000184,0
1,2,-0.399515, 0.200036,-0.399569, 0.200022,0.000056,0
1,2,4.851998, -2.742439,4.516918, -2.966488,0.403084,0
1,2,0.699237, -5.088031,0.699273, -4.951837,0.136194,0
