generation,resource_type,initial_x_pos, initial_y_pos, final_x_pos, final_y_pos, distance, isCollected
0,1,6.000000, -2.200000,6.047594, -2.533487,0.337009,0
0,1,-3.400000, 9.300000,-3.222069, 9.652416,0.394909,0
0,1,-0.200000, -2.700000,-0.247220, -8.543073,5.843272,1
0,1,-3.700000, 3.500000,-3.710936, -4.800482,8.300495,0
0,1,9.500000, 5.000000,9.822768, 4.978882,0.323608,0
0,1,-9.100000, -1.800000,-9.431404, -8.529321,6.737483,1
0,1,-8.100000, 3.000000,-8.100574, 3.000131,0.009865,0
0,1,8.100000, 5.700000,8.040647, -9.054171,14.754293,1
0,1,7.300000, -0.600000,7.011045, -8.557729,7.962979,1
0,1,-1.100000, 2.000000,-1.100515, 2.000064,0.009861,0
0,1,-6.100000, 1.200000,-6.100451, 1.200069,0.009857,0
0,1,-6.100000, -5.400000,-6.237030, -8.527449,3.130464,1
0,1,-7.800000, 7.000000,-7.800735, 7.000019,0.009878,0
0,1,-0.500000, -6.000000,-0.531331, -8.526575,2.526788,1
0,1,7.500000, -6.000000,7.499507, -6.000107,0.009860,0
0,1,-3.100000, -0.700000,-3.100359, -0.699944,0.009854,0
0,1,1.300000, 8.900000,0.163516, -1.718528,10.679177,0
0,1,4.400000, 8.500000,4.399232, 8.500080,0.009878,0
0,1,-5.000000, -4.000000,-5.729830, -4.257715,0.774049,0
0,1,9.400000, 1.700000,9.399247, 1.700018,0.009875,0
0,1,-6.800000, 7.800000,-6.800445, 7.800111,0.009857,0
0,1,2.400000, -4.100000,1.834379, -4.439085,0.659546,0
0,1,7.900000, 5.000000,7.859880, 4.832741,0.172285,0
0,1,-2.200000, -5.700000,-3.657145, -8.575101,3.223287,1
0,1,-5.000000, -0.800000,-5.000427, -0.799977,0.009859,0
0,1,3.600000, 2.100000,3.599315, 2.100168,0.009874,0
0,1,-2.100000, 0.800000,-2.100587, 0.800021,0.009866,0
0,1,0.700000, -7.400000,-0.061532, -8.531106,1.363609,1
0,1,-7.500000, 0.000000,-9.082588, -8.530843,8.676402,1
0,1,2.800000, 4.500000,1.463843, -4.886850,9.481474,0
0,2,-0.200000, 3.600000,-0.185404, 3.722186,0.123450,0
0,2,-1.300000, -0.400000,-1.299405, -0.399918,0.009952,0
0,2,8.800000, 2.700000,7.753155, -8.847054,11.594415,1
0,2,6.400000, 7.200000,5.080399, 7.702069,1.411920,0
0,2,3.800000, -1.600000,3.780502, -1.575586,0.032724,0
0,3,1.700000, -2.200000,0.998153, -1.828206,0.794302,0
0,3,-2.100000, 5.300000,-2.112699, 5.299819,0.016096,0
0,3,-5.000000, 8.800000,-4.547174, 8.513919,0.535715,0
0,3,-8.400000, 4.300000,-9.416125, 4.597419,1.058803,0
0,3,6.200000, -6.600000,6.653514, -5.800445,0.919273,0
0,4,-9.200000, 8.800000,-9.205387, 8.794149,0.012696,0
0,4,8.800000, 7.700000,8.975246, 7.515084,0.254955,0
0,4,-2.700000, -1.700000,-2.639398, -1.688203,0.062536,0
0,4,9.506588, 3.999384,-232.135056, 692.955261,733.975895,0
0,4,-7.600000, -2.400000,-8.669480, -2.196932,1.088635,0
0,5,3.500000, 6.900000,3.664413, 6.907950,0.164903,0
0,5,1.400000, 6.100000,1.394943, 6.300470,0.200774,0
0,5,-4.900000, 0.700000,-4.899784, 0.705466,0.011358,0
0,5,-2.400000, 8.100000,-2.409907, 8.119156,0.023711,0
0,5,3.800000, 0.300000,3.846167, 0.312216,0.048776,0
