generation,resource_type,initial_x_pos, initial_y_pos, final_x_pos, final_y_pos, distance, isCollected
0,1,-3.900000, 4.900000,-4.591741, -8.529192,13.447000,1
0,1,6.500000, -1.700000,6.467323, -8.578856,6.878941,1
0,1,0.600000, -5.900000,0.599457, -5.899978,0.009861,0
0,1,-3.500000, 8.800000,-2.582941, 0.243228,8.605779,0
0,1,0.500000, 0.500000,0.499392, 0.500004,0.009866,0
0,1,-8.400000, 7.700000,-8.400509, 7.699989,0.009862,0
0,1,2.800000, -1.100000,3.398345, -8.613733,7.537526,1
0,1,5.000000, 1.600000,5.053731, -8.591991,10.192138,1
0,1,0.000000, 3.600000,-0.000703, 3.600167,0.009875,0
0,1,-3.600000, -3.300000,-4.173120, -8.535478,5.266763,1
0,2,-6.600000, -1.800000,-6.638418, -1.154814,0.646405,0
0,2,0.700000, 8.700000,0.796385, 9.095072,0.406781,0
0,2,0.200000, -3.500000,0.207022, -3.527075,0.029590,0
0,2,-5.700000, 0.400000,-6.175642, 1.076108,0.826712,0
0,2,1.500000, 4.000000,0.912501, 4.342277,0.680005,0
0,2,8.700000, 3.500000,8.938179, 4.382586,0.914192,0
0,2,-3.000000, -1.700000,-2.196799, -0.803249,1.203905,0
0,2,2.400000, 7.000000,2.925930, 7.228295,0.573424,0
0,2,8.300000, 0.700000,8.050108, -1.144760,1.861634,0
0,2,6.100000, 1.000000,6.182456, 1.054343,0.099223,0
0,3,-6.100000, 3.600000,-6.088792, 3.600096,0.014928,0
0,3,-2.400000, 8.200000,-2.373554, 9.500010,1.300315,0
0,3,-5.400000, 6.200000,-5.399802, 6.200016,0.009949,0
0,3,5.900000, -3.800000,5.900121, -3.800150,0.009946,0
0,3,-7.300000, 7.900000,-7.044036, 9.320093,1.443010,0
0,3,0.800000, -1.200000,0.800157, -1.199927,0.009951,0
0,3,7.700000, -1.300000,7.762545, -1.785649,0.489756,0
0,3,-6.900000, 2.000000,-7.274834, 1.735140,0.459074,0
0,3,4.700000, 4.300000,4.404497, 3.446290,0.903460,0
0,3,-6.100000, 9.400000,-5.619363, 9.500126,0.491052,0
0,4,3.200000, 8.300000,2.980069, 8.441870,0.261908,0
0,4,3.600000, -3.700000,3.747351, -3.716529,0.148608,0
0,4,-6.700000, 4.900000,-6.362685, 5.257483,0.491605,0
0,4,-8.800000, -1.600000,-9.337344, -2.757202,1.275912,0
0,4,6.600000, 5.700000,6.672215, 5.777614,0.106461,0
0,4,-7.800000, -5.700000,-7.752420, -6.016523,0.320232,0
0,4,7.100000, -6.600000,6.744756, -6.348550,0.435341,0
0,4,6.900000, 7.000000,6.851184, 7.003270,0.049926,0
0,4,-7.800000, -2.900000,-7.877207, -2.900584,0.077840,0
0,4,-3.200000, 0.200000,-3.194960, 0.152759,0.048533,0
0,5,-0.600000, 8.700000,-0.478195, 8.732194,0.126378,0
0,5,-3.600665, 6.506048,-3.600662, 6.377020,0.129410,0
0,5,-0.900000, -6.900000,-0.899892, -6.900034,0.009956,0
0,5,4.200000, -6.900000,4.198538, -6.890902,0.013580,0
0,5,-1.200000, 1.700000,-1.150817, 1.569927,0.139415,0
0,5,2.400000, -6.000000,2.553329, -6.000513,0.153650,0
0,5,2.000000, 1.100000,1.999793, 1.095254,0.011015,0
0,5,-0.900000, -3.100000,-0.899740, -3.092056,0.012710,0
0,5,3.300000, 1.700000,3.295181, 1.700030,0.011032,0
0,5,8.900000, -1.800000,8.901867, -1.813314,0.016721,0
1,1,-4.591810, -8.529172,-4.591836, -8.529918,0.000748,1
1,1,6.467296, -8.578881,6.466923, -8.578844,0.000375,1
1,1,0.599366, -5.899978,0.599423, -5.900008,0.000064,0
1,1,-2.582846, 0.243602,-2.606011, 0.095338,0.150063,0
1,1,0.499483, 0.500004,1.172561, 0.341501,0.692377,0
1,1,-8.400600, 7.699990,-8.400563, 7.699969,0.000043,0
1,1,3.398399, -8.613799,3.398176, -8.614025,0.000321,1
1,1,5.053749, -8.592044,5.054173, -8.591735,0.000525,1
1,1,-0.000703, 3.600075,0.081354, -2.063183,5.663852,0
1,1,-4.173145, -8.535456,-4.173119, -8.534806,0.000670,1
1,2,-6.638581, -1.154646,-7.157327, -3.018547,1.934742,0
1,2,0.796333, 9.095058,0.333808, 9.446559,0.580932,0
1,2,0.207027, -3.527077,0.265508, -3.547572,0.061968,0
1,2,-6.175663, 1.076183,-6.797233, 1.500954,0.752848,0
1,2,0.912487, 4.342257,-0.086370, -1.455670,5.883339,0
1,2,8.938213, 4.382577,6.828022, -1.162154,5.932702,0
1,2,-2.196832, -0.803110,-1.820096, 0.131994,1.008142,0
1,2,2.925916, 7.228318,2.884692, 7.220598,0.041941,0
1,2,8.050110, -1.144900,7.153075, -5.097745,4.053351,0
1,2,6.182461, 1.054320,5.665896, -1.231913,2.343865,0
1,3,-6.088769, 3.600096,-5.880932, 3.661060,0.216594,0
1,3,-2.373561, 9.499992,-3.090938, 9.381832,0.727043,0
1,3,-5.399767, 6.200016,-5.399794, 6.199929,0.000091,0
1,3,5.900155, -3.800149,5.900061, -3.800010,0.000168,0
1,3,-7.044442, 9.320507,-7.205773, 9.499987,0.241331,0
1,3,0.800121, -1.199926,0.800115, -1.199916,0.000012,0
1,3,7.762682, -1.785956,8.188354, -2.761843,1.064684,0
1,3,-7.274848, 1.735116,-7.700115, 1.450779,0.511566,0
1,3,4.404504, 3.446272,4.407491, 3.444850,0.003308,0
1,3,-5.619113, 9.499946,-5.040265, 9.499949,0.578848,0
