generation,resource_type,initial_x_pos, initial_y_pos, final_x_pos, final_y_pos, distance, isCollected
0,1,-6.100000, -3.800000,-6.656698, -7.531083,3.772398,0
0,1,4.100000, 4.500000,2.801987, 3.580197,1.590903,0
0,1,7.200000, -3.500000,7.199525, -3.500016,0.009858,0
0,1,0.400000, 1.700000,-0.828390, -3.890866,5.724231,0
0,1,4.700000, -4.700000,5.028408, -8.587210,3.901070,1
0,2,0.500000, 5.100000,0.500644, 5.100189,0.009956,0
0,2,-5.900000, -1.200000,-6.878130, -2.868253,1.933882,0
0,2,4.000000, 1.700000,4.000600, 1.700046,0.009950,0
0,2,0.400000, 7.800000,0.897789, 7.883508,0.504839,0
0,2,-2.300000, -7.300000,-5.796384, -7.035022,3.506424,0
0,3,2.900000, 8.700000,3.007483, 8.509670,0.218809,0
0,3,6.000000, 0.400000,6.185036, 0.476579,0.200504,0
0,3,4.000000, 8.600000,4.000174, 8.600142,0.009941,0
0,3,6.100000, -6.600000,6.100252, -6.600001,0.009949,0
0,3,-3.500000, 0.800000,-3.499720, 0.799937,0.009952,0
0,4,4.300000, -6.600000,4.300332, -6.615695,0.018584,0
0,4,6.398867, 7.108881,6.302955, 8.336211,1.231111,0
0,4,7.600000, -2.300000,7.632812, -2.385534,0.092152,0
0,4,9.000000, 4.500000,9.009214, 4.103521,0.396710,0
0,4,-1.300000, 6.300000,-1.298320, 6.298219,0.010245,0
0,5,4.500000, -3.500000,4.453250, -3.493471,0.048213,0
0,5,-7.800000, 9.100000,-7.808609, 9.264890,0.165413,0
0,5,8.600000, -6.900000,8.599401, -6.904767,0.011046,0
0,5,-2.500000, 5.400000,-2.500091, 5.395851,0.010798,0
0,5,-8.300000, -5.800000,-8.096899, -6.020711,0.300101,0
0,5,2.200000, 2.300000,2.199208, 2.297652,0.010248,0
0,5,1.800000, -7.400000,1.800167, -7.399932,0.009945,0
0,5,-1.600000, -4.100000,-1.664379, -4.253345,0.166599,0
0,5,-3.600000, 2.800000,-3.705018, 2.801485,0.105501,0
0,5,5.700000, 5.200000,5.625817, 5.138556,0.096839,0
0,5,4.100000, 6.300000,4.101223, 6.292877,0.012303,0
0,5,-4.900000, 8.700000,-4.899046, 8.701646,0.010136,0
0,5,-8.300000, 5.400000,-8.244357, 5.295918,0.118438,0
0,5,-4.800000, -0.800000,-5.057405, -0.608804,0.320799,0
0,5,-0.800436, 8.304916,-0.659671, 8.448011,0.200972,0
0,5,-1.600000, 0.200000,-1.675497, 0.274357,0.106422,0
0,5,-7.400000, -3.900000,-7.380008, -3.942720,0.048194,0
0,5,2.500000, 5.300000,2.490421, 5.384504,0.085616,0
0,5,3.000000, -2.900000,3.008350, -2.901430,0.013017,0
